AAA,0.4943700000000001
ACB,4.401366
ACVII,0.005628
AD,0.161114
ADP,0.09953
AHN,0.7105940000000002
AON,4.863404000000001
AP,0.052784
APN,1.2760240000000005
APr,0.326634
AQ,0.405256
ARH,0.284936
ASO,0.006214
AT,0.043064
AV,0.4156040000000001
AVP,0.092556
AVPV,0.181184
Acs5,0.013912
B,0.015566
BA,0.024958
BAC,0.007756
BST,1.3407020000000005
CA1-unassigned,6.000000000000001e-06
CA3-unassigned,2.0000000000000003e-06
CB-unassigned,0.8292620000000002
CL,0.360936
CLA,0.5507380000000001
CLI,0.083176
CM,0.24957
COAa,0.7674760000000002
COPY,2.5061600000000004
CP,26.018770000000004
CS,0.6016520000000001
CTXsp-unassigned,0.3722440000000001
CU,0.333124
CUN,0.5514280000000001
DCO,0.6121960000000001
DEC,3.3347480000000007
DMH,0.376062
DMX,0.174194
DN,0.334984
DP,0.5047200000000001
DR,0.152892
DT,0.011452
DTN,0.103734
ECU,0.204724
EPd,1.819782
EPv,0.9727220000000002
EW,0.025458
Eth,0.235712
FC,0.06221
FL,1.3372660000000005
FN,0.502036
FOTU,1.0533980000000005
FS,0.428468
GPe,1.5648160000000002
GPi,0.423578
GR,0.081624
GRN,2.6237540000000004
HATA,0.42178
HPF-unassigned,0.4210340000000001
HY-unassigned,2.7593600000000005
I5,0.044504
IA,0.182714
IAD,0.111558
IAM,0.043372
ICB,0.053468
IF,0.086796
IG,0.12569
IGL,0.06842
III,0.032532
IIIn-unassigned,0.007824
IIn-unassigned,0.070278
IMD,0.17641
IO,0.511758
IP,0.8598740000000001
IPN-unassigned,0.01105
IRN,2.7774780000000003
ISN,0.007224
IV,0.007258
IVn,0.006804
IntG,0.0225
LA,0.8402880000000001
LAV,0.287566
LC,0.014486
LD,1.0164840000000002
LDT,0.203476
LGv,0.405742
LH,0.3447180000000001
LHA,2.0645080000000005
LIN,0.061296
LING,0.121628
LM,0.077444
LP,1.200686
LPO,0.5599760000000001
LSc,0.5636010000000001
LSr,1.881915
LSv,0.6072360000000001
LT,0.017884
MA,0.364276
MA3,0.016356
MARN,0.5333320000000001
MB-unassigned,6.762882000000001
MD,1.38339
ME,0.08155
